role,skill,level,type,question,option_a,option_b,option_c,option_d,correct_answer,explanation
Business Analyst,Data Analysis,Advanced,technical,What is predictive analysis?,Forecasting future trends,Summarizing past data,Cleaning data,Sorting data,Forecasting future trends,Uses models for prediction.
Business Analyst,Data Analysis,Advanced,technical,What is regression?,Modeling relationships,Sorting data,Deleting data,Grouping rows,Modeling relationships,Regression predicts outcomes.
Business Analyst,Data Analysis,Advanced,technical,What is hypothesis testing?,Testing assumptions statistically,Writing queries,Designing UI,Managing servers,Testing assumptions statistically,Validates assumptions.
Business Analyst,Data Analysis,Advanced,technical,What is variance?,Measure of spread,Average value,Total sum,Maximum value,Measure of spread,Variance shows data dispersion.
Business Analyst,Data Analysis,Advanced,technical,What is data bias?,Systematic error in data,Random value,Duplicate entry,Missing field,Systematic error in data,Bias affects analysis accuracy.
Business Analyst,Data Analysis,Beginner,situational,A dataset has missing values. What should you do?,Clean or impute data,Ignore missing values,Delete entire dataset,Proceed without changes,Clean or impute data,Handling missing data improves accuracy.
Business Analyst,Data Analysis,Intermediate,situational,You notice inconsistent data formats. What should you do?,Standardize the data,Ignore differences,Delete records randomly,Proceed as is,Standardize the data,Consistency ensures reliable analysis.
Business Analyst,Data Analysis,Intermediate,situational,Analysis results look incorrect. What should you do?,Verify data and logic,Ignore results,Present anyway,Delete data,Verify data and logic,Validation ensures correctness.
Business Analyst,Data Analysis,Advanced,situational,You detect strong correlation between variables. What should you do?,Analyze relationship further,Ignore correlation,Delete variables,Change dataset,Analyze relationship further,Correlation may indicate useful insights.
Business Analyst,Data Analysis,Advanced,situational,Stakeholder questions your analysis. What should you do?,Explain methodology clearly,Ignore question,Blame data,Change results,Explain methodology clearly,Transparency builds trust.
Business Analyst,Data Visualization,Beginner,technical,What is a bar chart used for?,Comparing categories,Showing trends over time,Displaying proportions,Mapping locations,Comparing categories,Bar charts compare discrete values.
Business Analyst,Data Visualization,Beginner,technical,What does a line chart show?,Trends over time,Category comparison,Proportions,Geographic data,Trends over time,Line charts show continuous trends.
Business Analyst,Data Visualization,Beginner,technical,What is a pie chart used for?,Showing proportions,Comparing trends,Sorting data,Filtering values,Showing proportions,Pie charts show percentage distribution.
Business Analyst,Data Visualization,Beginner,technical,What is dashboard?,Collection of visual insights,Code editor,Database table,Server panel,Collection of visual insights,Dashboards display key metrics.
Business Analyst,Data Visualization,Beginner,technical,What is axis in chart?,Reference line for values,Data point,Legend label,Color scheme,Reference line for values,Axes define chart scale.
Business Analyst,Data Visualization,Intermediate,technical,What is data storytelling?,Communicating insights with visuals,Writing code,Testing UI,Managing servers,Communicating insights with visuals,Storytelling explains insights clearly.
Business Analyst,Data Visualization,Intermediate,technical,What improves visualization clarity?,Simple design,Complex charts,Too many colors,Random layout,Simple design,Simplicity improves understanding.
Business Analyst,Data Visualization,Intermediate,technical,What is legend in chart?,Explains symbols and colors,Axis label,Data table,Code block,Explains symbols and colors,Legend defines chart elements.
Business Analyst,Data Visualization,Intermediate,technical,What is heatmap?,Color-coded data matrix,Bar chart,Line chart,Pie chart,Color-coded data matrix,Heatmaps show intensity.
Business Analyst,Data Visualization,Intermediate,technical,What is scatter plot?,Shows relationship between variables,Displays proportions,Shows trends,Sorts data,Shows relationship between variables,Scatter plots reveal correlations.
Business Analyst,Data Visualization,Advanced,technical,What is visualization bias?,Misleading representation of data,Correct analysis,Data cleaning method,Sorting technique,Misleading representation of data,Bias distorts insights.
Business Analyst,Data Visualization,Advanced,technical,What is drill down analysis?,Exploring deeper data levels,Summarizing high level data,Sorting records,Deleting values,Exploring deeper data levels,Drill down helps analyze data in detail.
Business Analyst,Data Visualization,Advanced,technical,What is KPI dashboard?,Displays key metrics,Code panel,Database schema,Server monitor,Displays key metrics,KPI dashboards track performance.
Business Analyst,Data Visualization,Advanced,technical,What is real-time dashboard?,Live updating data view,Static report,Code output,Server log,Live updating data view,Shows current data.
Business Analyst,Data Visualization,Advanced,technical,What is visualization best practice?,Keep charts simple and clear,Add maximum data,Use many colors,Ignore labels,Keep charts simple and clear,Clarity improves usability.
Business Analyst,Data Visualization,Beginner,situational,A chart looks cluttered with too many elements. What should you do?,Simplify the chart,Add more data,Ignore issue,Change dataset,Simplify the chart,Clarity improves understanding.
Business Analyst,Data Visualization,Intermediate,situational,Stakeholder misinterprets a chart. What should you do?,Improve labeling and clarity,Ignore misunderstanding,Blame stakeholder,Remove chart,Improve labeling and clarity,Clear visuals prevent confusion.
Business Analyst,Data Visualization,Intermediate,situational,Dashboard shows too many KPIs. What should you do?,Focus on key metrics,Add more KPIs,Ignore issue,Delete dashboard,Focus on key metrics,Relevant KPIs improve usability.
Business Analyst,Data Visualization,Advanced,situational,Visualization hides key insights. What should you do?,Redesign for clarity,Ignore issue,Delete data,Add more charts,Redesign for clarity,Design should highlight insights.
Business Analyst,Data Visualization,Advanced,situational,Data trends are unclear. What should you do?,Use appropriate chart type,Ignore trends,Delete data,Change dataset,Use appropriate chart type,Correct charts reveal patterns.
Business Analyst,SQL,Beginner,technical,Which clause removes duplicate rows?,DISTINCT,WHERE,ORDER BY,JOIN,DISTINCT,DISTINCT ensures unique values.
Business Analyst,SQL,Intermediate,technical,Which operator checks range?,BETWEEN,LIKE,IN,JOIN,BETWEEN,BETWEEN filters within range.
Business Analyst,SQL,Intermediate,technical,Which operator matches patterns?,LIKE,IN,BETWEEN,JOIN,LIKE,LIKE is used for pattern matching.
Business Analyst,SQL,Advanced,technical,What is a stored procedure?,Predefined SQL code block,Table structure,Index file,Join type,Predefined SQL code block,Stored procedures automate tasks.
Business Analyst,SQL,Advanced,technical,What is database schema?,Structure of database,Query result,Table join,Data filter,Structure of database,Schema defines database design.
Business Analyst,Data Analysis,Beginner,technical,What is median?,Middle value,Average value,Maximum value,Total sum,Middle value,Median represents central point.
Business Analyst,Data Analysis,Intermediate,technical,What is standard deviation?,Measure of variation,Average value,Total sum,Minimum value,Measure of variation,It shows spread of data.
Business Analyst,Data Analysis,Advanced,technical,What is data modeling?,Structuring data logically,Writing code,Testing UI,Managing servers,Structuring data logically,Modeling organizes data relationships.
Business Analyst,Data Analysis,Advanced,technical,What is clustering?,Grouping similar data,Sorting rows,Deleting data,Filtering values,Grouping similar data,Clustering finds patterns.
Business Analyst,Data Analysis,Advanced,technical,What is anomaly detection?,Identifying unusual data,Sorting data,Grouping data,Deleting records,Identifying unusual data,Detects abnormal patterns.
Business Analyst,SQL,Beginner,situational,A query returns duplicate values. What should you do?,Use DISTINCT,Delete table,Ignore duplicates,Restart query,Use DISTINCT,DISTINCT removes duplicates.
Business Analyst,SQL,Intermediate,situational,You need to filter multiple values. What should you use?,IN clause,JOIN clause,ORDER BY,DELETE,IN clause,IN filters multiple values efficiently.
Business Analyst,SQL,Intermediate,situational,You need partial match search. What should you use?,LIKE operator,IN clause,BETWEEN,JOIN,LIKE operator,LIKE supports pattern matching.
Business Analyst,SQL,Advanced,situational,You need reusable query logic. What should you use?,Stored procedure,Table join,WHERE clause,ORDER BY,Stored procedure,Reusable logic improves efficiency.
Business Analyst,Data Analysis,Advanced,situational,Data shows unexpected trend. What should you do?,Investigate root cause,Ignore trend,Delete data,Change dataset,Investigate root cause,Analysis should validate anomalies.
Business Analyst,Data Visualization,Advanced,situational,A dashboard shows conflicting KPIs. What should you do?,Validate data sources,Ignore conflict,Remove KPIs,Change design,Validate data sources,Consistency in data is critical.
Business Analyst,Data Visualization,Intermediate,situational,Users find dashboard hard to use. What should you do?,Improve usability design,Add more charts,Ignore feedback,Remove dashboard,Improve usability design,User-centric design improves adoption.
Business Analyst,Data Visualization,Advanced,situational,Real-time dashboard lags frequently. What should you do?,Optimize data pipeline,Ignore lag,Delete dashboard,Reduce data randomly,Optimize data pipeline,Performance issues need backend fixes.
Business Analyst,Data Visualization,Intermediate,situational,Stakeholder wants more visuals than needed. What should you do?,Recommend optimal visuals,Add all visuals,Ignore request,Delay project,Recommend optimal visuals,Too many visuals reduce clarity.
Business Analyst,Data Visualization,Advanced,situational,Visualization does not align with business goal. What should you do?,Align with objective,Ignore mismatch,Delete chart,Add more data,Align with objective,Visualization must match goals.
Business Analyst,SQL,Advanced,technical,What is a trigger?,Automatic database action,Manual query,Table structure,Join type,Automatic database action,Triggers execute automatically.
Business Analyst,SQL,Advanced,technical,What is ACID property?,Ensures transaction reliability,Sorting method,Join technique,Index type,Ensures transaction reliability,ACID ensures data integrity.
Business Analyst,SQL,Intermediate,technical,What is foreign key?,Reference to another table,Primary identifier,Unique constraint,Data filter,Reference to another table,Foreign key links tables.
Business Analyst,SQL,Advanced,technical,What is denormalization?,Adding redundancy for performance,Removing duplicates,Sorting data,Deleting tables,Adding redundancy for performance,Improves performance in some cases.
Business Analyst,SQL,Intermediate,technical,What is UNION?,Combines query results,Filters rows,Sorts data,Deletes records,Combines query results,UNION merges results.
